Technique ID,Technique Name,Procedure Example,Tactic
Application Versioning,T1661,"SharkBot initially poses as a benign application, then malware is downloaded and executed after an application update. [2]",Unknown
Application Versioning,T1661,"Enterprises can provision policies to mobile devices for application allow-listing, ensuring only approved applications are installed onto mobile devices.",Unknown
Application Versioning,T1661,"Android 11 and above implement application hibernation, which can hibernate an application that has not been used for a few months and can reset the application’s permission requests. [3]",Unknown
Application Versioning,T1661,API Calls,Unknown
Application Versioning,T1661,Network Communication,Unknown
Application Versioning,T1661,Permissions Requests,Unknown
Drive-By Compromise,T1456,"During C0033 , PROMETHIUM distributed StrongPity through the compromised official Syrian E-Gov website. [2]",Unknown
Drive-By Compromise,T1456,INSOMNIA has utilized malicious JavaScript and iframes to exploit WebKit running on vulnerable iOS 12 devices. [3],Unknown
Drive-By Compromise,T1456,"LightSpy gains initial execution when a victim visits a compromised or adversary-controlled website, including those mimicking legitimate sources such as a Hong Kong newspaper. Upon loading index.html , a Safari WebKit exploit is triggered, leading to the download of a Mach-O binary disguised with a .png extension. [4] [5] [6] [7]",Unknown
Drive-By Compromise,T1456,Pegasus for iOS was distributed through a web site by exploiting vulnerabilities in the Safari web browser on iOS devices. [8],Unknown
Drive-By Compromise,T1456,"Stealth Mango is delivered via a a watering hole website that mimics the third-party Android app store APKMonk. In at least one case, the watering hole URL was distributed through Facebook Messenger. [1]",Unknown
Drive-By Compromise,T1456,YiSpecter is believed to have initially infected devices using internet traffic hijacking to generate abnormal popups. [9],Unknown
Drive-By Compromise,T1456,Security updates frequently contain patches for known exploits.,Unknown
Drive-By Compromise,T1456,Host Status,Unknown
Exploitation for Initial Access,T1664,BRATA has abused WhatsApp vulnerability CVE-2019-3568 to achieve initial access. [1],Unknown
Exploitation for Initial Access,T1664,Pegasus for iOS has used zero-day iMessage exploits for initial access. [2],Unknown
Exploitation for Initial Access,T1664,Mobile security products can potentially detect if a device is vulnerable to a known exploit and can alert the user to update their device.,Unknown
Exploitation for Initial Access,T1664,Security updates frequently contain patches for known software vulnerabilities.,Unknown
Exploitation for Initial Access,T1664,Host Status,Unknown
Lockscreen Bypass,T1461,"BRATA can request the user unlock the device, or remotely unlock the device. [5]",Unknown
Lockscreen Bypass,T1461,Escobar can request the DISABLE_KEYGUARD permission to disable the device lock screen password. [6],Unknown
Lockscreen Bypass,T1461,"Enterprises can provision policies to mobile devices that require a minimum complexity (length, character requirements, etc.) for the device passcode, and cause the device to wipe all data if an incorrect passcode is entered too many times. Both policies would mitigate brute-force, guessing, or shoulder surfing of the device passcode. Enterprises can also provision policies to disable biometric authentication, however, biometric authentication can help make using a longer, more complex passcode more practical because it does not need to be entered as frequently.",Unknown
Lockscreen Bypass,T1461,OS security updates typically contain exploit patches when disclosed.,Unknown
Lockscreen Bypass,T1461,Host Status,Unknown
Phishing,T1660,APT-C-23 sends malicious links to victims to download the masqueraded application. [1] [2],Unknown
Phishing,T1660,"BITTER has delivered malicious applications to victims via shortened URLs distributed through SMS, WhatsApp, and various social media platforms. [3]",Unknown
Phishing,T1660,"BRATA has been distributed using phishing techniques, such as push notifications from compromised websites. [4]",Unknown
Phishing,T1660,"FjordPhantom has been distributed via email, SMS and other messaging applications. [5]",Unknown
Phishing,T1660,FluBot has been distributed via malicious links in SMS messages. [6],Unknown
Phishing,T1660,LightSpy has delivered malicious links through Telegram channels and Instagram posts. [7] [8],Unknown
Phishing,T1660,Pegasus for iOS has been distributed via malicious links in SMS messages. [9],Unknown
Phishing,T1660,Sandworm Team used SMS-based phishing to target victims with malicious links. [10],Unknown
Phishing,T1660,Scattered Spider has sent SMS phishing messages to employee phone numbers with a link to a site configured with a fake credential harvesting login portal. [11],Unknown
Phishing,T1660,UNC788 has used phishing and social engineering to distribute malware. [12],Unknown
Phishing,T1660,Some mobile security products offer a loopback VPN used for inspecting traffic. This could proactively block traffic to websites that are known for phishing or appear to be conducting a phishing attack.,Unknown
Phishing,T1660,Users can be trained to identify social engineering techniques and phishing emails.,Unknown
Phishing,T1660,Network Traffic Content,Unknown
Phishing,T1660,Network Traffic Flow,Unknown
Replication Through Removable Media,T1458,DualToy side loads malicious or risky apps to both Android and iOS devices via a USB connection. [6],Unknown
Replication Through Removable Media,T1458,WireLurker monitors for iOS devices connected via USB to an infected OSX computer and installs downloaded third-party applications or automatically generated malicious applications onto the device. [7],Unknown
Replication Through Removable Media,T1458,"Enterprise policies should prevent enabling USB debugging on Android devices unless specifically needed (e.g., if the device is used for application development).",Unknown
Replication Through Removable Media,T1458,Users should ensure bootloaders are locked to prevent arbitrary operating system code from being flashed onto the device.,Unknown
Replication Through Removable Media,T1458,Security updates often contain patches for vulnerabilities.,Unknown
Replication Through Removable Media,T1458,"iOS 11.4.1 and higher introduce USB Restricted Mode, which disables data access through the device's charging port under certain conditions (making the port only usable for power), likely preventing this technique from working. [8]",Unknown
Replication Through Removable Media,T1458,"Users should be advised not to use public charging stations or computers to charge their devices. Instead, users should be issued a charger acquired from a trustworthy source. Users should be advised not to click on device prompts to trust attached computers unless absolutely necessary.",Unknown
Replication Through Removable Media,T1458,Host Status,Unknown
SIM Card Swap,T1451,LAPSUS$ has used SIM swapping to gain access to victims’ mobile devices. [3] [4],Unknown
SIM Card Swap,T1451,Scattered Spider has used SIM swapping to maintain persistence on mobile carrier networks and SIM cards. [5],Unknown
SIM Card Swap,T1451,Enterprises should monitor for SIM card changes on the Enterprise Mobility Management (EMM) or the Mobile Device Management (MDM).,Unknown
